gene_id,moduleColor,GStraits1.num_LTR,p.GS.traits1.num_LTR,MM.black,p.MMblack,MM.pink,p.MMpink,MM.darkgreen,p.MMdarkgreen,MM.lightyellow,p.MMlightyellow,MM.antiquewhite4,p.MMantiquewhite4,MM.lightcyan,p.MMlightcyan,MM.grey60,p.MMgrey60,MM.mediumorchid,p.MMmediumorchid,MM.darkseagreen4,p.MMdarkseagreen4,MM.orangered3,p.MMorangered3,MM.mediumpurple2,p.MMmediumpurple2,MM.plum2,p.MMplum2
RPP25L,black,0.8414139250528936,0.15858607494710641,0.8810616221519509,0.11893837784804903,-0.9544080441526258,0.04559195584737417,-0.6506345642651062,0.34936543573489365,0.8647950922744151,0.1352049077255849,-0.023945493173191397,0.9760545068268086,-0.5043975959856294,0.4956024040143706,0.42223695476480594,0.5777630452351941,0.15570369603357706,0.844296303966423,0.08293461151720327,0.9170653884827967,-0.5782844062734571,0.4217155937265429,0.28135318041136875,0.7186468195886312,-0.6255981166118274,0.3744018833881725
LOC101098289,black,0.8412394290681426,0.15876057093185728,0.8822565644424288,0.11774343555757114,-0.9429553390702397,0.057044660929760335,-0.676932447893504,0.32306755210649596,0.8848461750664334,0.11515382493356661,-0.03583834637508389,0.9641616536249161,-0.45841158550207445,0.5415884144979255,0.3742868382733112,0.6257131617266888,0.20269025886530964,0.7973097411346903,0.11680923718391094,0.8831907628160891,-0.6162606273875737,0.3837393726124262,0.25644573327155723,0.7435542667284427,-0.598968500888532,0.40103149911146785
DCLK1,black,0.8410133876193192,0.15898661238068076,0.8796219718876255,0.12037802811237445,-0.9607274044762237,0.03927259552377624,-0.6333846426934,0.3666153573065999,0.8501271434578609,0.14987285654213905,-0.014893032108862865,0.985106967891137,-0.5335145170771796,0.46648548292282044,0.4528078417382773,0.5471921582617227,0.12558396211174522,0.8744160378882548,0.05984339226975797,0.940156607730242,-0.552357874948815,0.44764212505118495,0.29594636403965136,0.7040536359603486,-0.6411115391829134,0.3588884608170865
VPS13C,black,0.840967971970495,0.15903202802950492,0.794820860810982,0.20517913918901784,-0.7063033017563222,0.29369669824367783,-0.605137388189552,0.3948626118104479,0.045521177065942844,0.9544788229340572,0.856559104295231,0.143440895704769,-0.5537478850442299,0.4462521149557701,0.5632076812045289,0.4367923187954711,0.12858898429718588,0.8714110157028141,-0.7836653679798039,0.21633463202019604,0.23808457151214654,0.7619154284878534,-0.40415265606763423,0.5958473439323657,0.04137742445070037,0.9586225755492996
RAB12,black,0.840918440041874,0.1590815599581259,0.8541210302400377,0.14587896975996226,-0.9751253037262321,0.024874696273767937,-0.47170029271955793,0.5282997072804421,0.5667211179266083,0.4332788820733916,0.2329221947999557,0.7670778052000443,-0.8081249268695471,0.19187507313045288,0.7574900474966608,0.24250995250333907,-0.15106307916718337,0.8489369208328166,-0.3119674982995076,0.6880325017004925,-0.16652433261787453,0.8334756673821255,0.2997136760525848,0.7002863239474152,-0.6581675657884876,0.34183243421151255
LOC111560523,black,0.840754353719733,0.15924564628026697,0.8611314277744636,0.13886857222553636,-0.9828818672585323,0.01711813274146765,-0.49694068436883987,0.50305931563116,0.6410596482941934,0.3589403517058066,0.16108389914640206,0.8389161008535979,-0.7660147825784324,0.23398521742156753,0.7072993151268411,0.29270068487315876,-0.10971313050879108,0.8902868694912089,-0.22265147286791523,0.7773485271320848,-0.25572704527288304,0.744272954727117,0.32693789008919105,0.673062109910809,-0.6826239766990679,0.31737602330093206
RIF1,black,0.8406172767081282,0.15938272329187164,0.8784988530677155,0.12150114693228443,-0.818129916015278,0.18187008398472201,-0.8691693427784317,0.13083065722156828,0.9080719299664499,0.09192807003355005,0.013032667541592246,0.9869673324584077,-0.11899040913513614,0.8810095908648639,0.034385039730377306,0.9656149602696227,0.55378302430397075,0.44621697569602925,0.23636933932428217,0.7636306606757178,-0.7751996545801438,0.22480034541985605,-0.03966609689555573,0.9603339031044442,-0.29307193049020375,0.7069280695097963
DSP,black,0.8405245369304394,0.1594754630695605,0.8822068602875426,0.11779313971245742,-0.9355888964968614,0.06441110350313864,-0.6912168043974938,0.3087831956025062,0.8947673520194388,0.10523264798056117,-0.04172898345851998,0.9582710165414801,-0.4322034183524035,0.5677965816475965,0.3471151160967317,0.6528848839032684,0.22899793434102322,0.7710020656589768,0.13504129212913457,0.8649587078708654,-0.6364832289056792,0.3635167710943208,0.2416091402592619,0.758390859740738,-0.5829269986759468,0.4170730013240531
TAF1,black,0.8403746623142216,0.1596253376857783,0.8723520212386604,0.12764797876133954,-0.7684648712357326,0.23153512876426735,-0.9205291009592309,0.07947089904076905,0.8666172814942736,0.13338271850572633,0.07830149995108106,0.921698500048919,-0.026412887164779103,0.9735871128352209,-0.052962076784625674,0.9470379232153743,0.6509110088411898,0.3490889911588102,0.21927175078289246,0.7807282492171075,-0.7720898361648046,0.22791016383519527,-0.16305728560644583,0.8369427143935542,-0.16799676380570355,0.8320032361942964
NUP62,black,0.8403222022413575,0.15967779775864246,0.8668103335891382,0.1331896664108618,-0.7329882543048902,0.2670117456951096,-0.950644911422116,0.04935508857788396,0.8232849328096218,0.17671506719037816,0.1375108390122526,0.8624891609877474,0.02839642571500909,0.9716035742849909,-0.1025642136128354,0.8974357863871646,0.7090522747059681,0.2909477252940317,0.18950909499696295,0.810490905003037,-0.7519729804375599,0.24802701956244,-0.25300629666029095,0.746993703339709,-0.07748772052261452,0.9225122794773855
VMAC,black,0.8400824839316858,0.15991751606831411,0.8226469082031724,0.17735309179682746,-0.577793526499669,0.422206473500331,-0.9748766126995524,0.025123387300447587,0.41692993615998936,0.5830700638400106,0.5924403977107199,0.4075596022892801,0.08649879710058267,0.9135012028994174,-0.11470333314625898,0.885296666853741,0.7813031943750411,0.21869680562495875,-0.21722216290574836,0.7827778370942516,-0.38022435810946265,0.6197756418905374,-0.6702581621378644,0.3297418378621355,0.3327786624233663,0.6672213375766337
GCFC2,black,0.8397627105123342,0.16023728948766575,0.8824216583695053,0.11757834163049469,-0.9144952276628016,0.08550477233719843,-0.7302367733997253,0.26976322660027463,0.9144102977475054,0.08558970225249463,-0.048689818059106466,0.9513101819408936,-0.3626317296392197,0.6373682703607804,0.27576115973987536,0.7242388402601246,0.29998568816698645,0.7000143118330135,0.17555576340331153,0.8244442365966884,-0.6835765481336645,0.31642345186633547,0.19494139456294363,0.8050586054370564,-0.5336743098260537,0.4663256901739463
SLC38A5,black,0.8396157486452406,0.16038425135475934,0.8776477846226121,0.12235221537738789,-0.8176300330328685,0.18236996696713148,-0.8683882440944729,0.131611755905527,0.9088989176404456,0.09110108235955437,0.011022553354096323,0.9889774466459037,-0.11846983218316992,0.8815301678168301,0.03375343097858447,0.9662465690214155,0.5534593835573847,0.44654061644261533,0.23818145354037581,0.7618185464596242,-0.7762842071478248,0.2237157928521751,-0.03826729013231624,0.9617327098676838,-0.2940236790389857,0.7059763209610144
PHF23,black,0.8396129377039983,0.16038706229600166,0.8183042730030972,0.18169572699690278,-0.5715119623571864,0.4284880376428136,-0.9634273072236174,0.036572692776382615,0.37719065128610374,0.6228093487138963,0.6311941316072927,0.36880586839270735,0.06866541134717684,0.9313345886528231,-0.09253277889418074,0.9074672211058192,0.763586802419227,0.2364131975807728,-0.2632124224127359,0.7367875775872641,-0.334457329176658,0.665542670823342,-0.688549904841323,0.31145009515867705,0.3499465667689682,0.6500534332310318
SENP8,black,0.8394919389238744,0.16050806107612553,0.8556071693495453,0.14439283065045466,-0.9783843064272713,0.021615693572728717,-0.47845239907011355,0.5215476009298864,0.5954324462252402,0.40456755377475984,0.20292253322889267,0.7970774667711074,-0.7945210753274817,0.2054789246725182,0.7407192425927048,0.25928075740729506,-0.13899611626145897,0.861003883738541,-0.277118840079526,0.7228811599204741,-0.20000545165258365,0.7999945483474163,0.3142781102801763,0.6857218897198236,-0.6711680997103213,0.3288319002896787
HECA,black,0.8394785240021854,0.16052147599781458,0.8167423252835323,0.1832576747164677,-0.8672048083351167,0.13279519166488332,-0.456329122386174,0.5436708776138259,0.22408289051007613,0.7759171094899239,0.6015921355354421,0.3984078644645579,-0.8199007194549133,0.1800992805450867,0.807612453810384,0.1923875461896159,-0.1542532816077154,0.8457467183922847,-0.670913052584401,0.32908694741559896,0.17124999259264378,0.8287500074073562,0.006162144685156454,0.9938378553148435,-0.3716097474104088,0.6283902525895911
ADAMTS12,black,0.8394627391195917,0.16053726088040826,0.865993594852583,0.13400640514741702,-0.9840608590221406,0.015939140977859412,-0.525028733179824,0.474971266820176,0.7061671410962759,0.2938328589037241,0.09957927167884255,0.9004207283211574,-0.7163720858303683,0.28362791416963157,0.6506352232985887,0.3493647767014113,-0.0612136340078037,0.9387863659921962,-0.13993614652980596,0.8600638534701941,-0.3390598801261259,0.660940119873874,0.3401554611002606,0.6598445388997394,-0.6926014218747498,0.3073985781252502
LOC111559537,black,0.8390937769573901,0.16090622304260987,0.8819180439380564,0.11808195606194359,-0.8991996407501057,0.10080035924989422,-0.7553171042873501,0.2446828957126497,0.9226220002426009,0.0773779997573991,-0.04846579186123471,0.9515342081387652,-0.3174070332395484,0.6825929667604516,0.2298855879542695,0.7701144120457305,0.34612150383123796,0.653878496168762,0.1972860719772967,0.8027139280227034,-0.7097708238338781,0.29022917616612176,0.16073148765388812,0.8392685123461119,-0.4978087792806012,0.5021912207193988
MTA3,black,0.8389950612102778,0.16100493878972214,0.7940326184544475,0.20596738154555244,-0.7213091964238809,0.27869080357611903,-0.5814053702335679,0.41859462976643214,0.04938992755714517,0.9506100724428548,0.8415026795093079,0.15849732049069207,-0.5919499625589336,0.4080500374410664,0.6006924653347424,0.3993075346652576,0.08716757438976686,0.9128324256102331,-0.7887280545396579,0.21127194546034198,0.24952434578716107,0.7504756542128389,-0.3626920571883637,0.6373079428116363,-1.989278575580822e-4,0.999801072142442
NAA40,black,0.8389169845033151,0.16108301549668483,0.8817816164006728,0.11821838359932724,-0.9026572368515555,0.09734276314844446,-0.749269155565187,0.2507308444348128,0.921270344051019,0.07872965594898092,-0.04947891678951464,0.9505210832104853,-0.32768462575193685,0.6723153742480631,0.24024629630622873,0.7597537036937713,0.3353459379455418,0.6646540620544582,0.19314793557983403,0.806852064420166,-0.7043417090160569,0.29565829098394303,0.16934222393947565,0.8306577760605244,-0.5066483797201795,0.4933516202798205
ARHGAP32,black,0.838397933267481,0.16160206673251898,0.798353749649658,0.2016462503503419,-0.7660198061499144,0.23398019385008545,-0.5310416089639534,0.46895839103604664,0.0815373105096943,0.9184626894903056,0.7861598238220114,0.21384017617798842,-0.680812351929455,0.319187648070545,0.6853743172595655,0.31462568274043445,-0.006529781197247531,0.9934702188027524,-0.779609003265219,0.22039099673478088,0.25391212353592924,0.7460878764640708,-0.250133377462067,0.7498666225379329,-0.11419190945861962,0.8858080905413803
LOC111557902,black,0.8383895220789824,0.16161047792101754,0.8406367978405251,0.15936320215947478,-0.6238125138847567,0.37618748611524333,-0.9993438951359511,6.561048640488625e-4,0.6080815212998307,0.39191847870016916,0.39096178926225894,0.6090382107377411,0.12590621808446828,0.8740937819155317,-0.1753502696654252,0.8246497303345748,0.8150758085345605,0.18492419146543942,-0.005786888769448163,0.9942131112305519,-0.5820282132491856,0.41797178675081437,-0.5343577704148609,0.4656422295851391,0.20268982896502083,0.7973101710349791
LOC101090710,black,0.838384229401756,0.1616157705982439,0.880042151333109,0.11995784866689091,-0.8610585149614045,0.1389414850385954,-0.8116679523568177,0.18833204764318223,0.9269100812854072,0.07308991871459282,-0.03179661182395215,0.9682033881760479,-0.2168041332160061,0.7831958667839939,0.12942027887738491,0.8705797211226151,0.44982132100496897,0.5501786789950309,0.23044214293968168,0.7695578570603183,-0.7543930479040796,0.24560695209592037,0.07124659945494412,0.9287534005450558,-0.4052609408459665,0.5947390591540336
NIM1K,black,0.8383789159301386,0.16162108406986136,0.8762011148483754,0.12379888515162459,-0.8130709443601292,0.18692905563987078,-0.8719405811710046,0.1280594188289954,0.9074444355915764,0.09255556440842362,0.01301410119643533,0.9869858988035647,-0.10976899771569644,0.8902310022843035,0.025244100239984257,0.9747558997600158,0.5614975816137786,0.4385024183862213,0.24009345189670475,0.7599065481032953,-0.778452466671492,0.22154753332850782,-0.0462919162998791,0.9537080837001208,-0.28528509648481604,0.714714903515184
LOC109503371,black,0.8382233979844234,0.16177660201557664,0.877897982994622,0.12210201700537798,-0.955516527412731,0.04448347258726904,-0.6411452642897462,0.35885473571025384,0.8612483970544185,0.1387516029455815,-0.026295150194158585,0.9737048498058414,-0.514861171675647,0.48513882832435296,0.4329640925596474,0.5670359074403526,0.14227520593234783,0.8577247940676521,0.0788822321223631,0.9211177678776369,-0.5708612303491326,0.4291387696508674,0.2916270941368042,0.7083729058631958,-0.6349017570315119,0.36509824296848814
MXI1,black,0.8381713305405898,0.1618286694594102,0.7908726778504663,0.20912732214953364,-0.6912424057232097,0.3087575942767903,-0.6175352187692361,0.3824647812307638,0.03706917969006799,0.962930820309932,0.8684248140794253,0.13157518592057468,-0.5261847462462276,0.4738152537537724,0.5367067104550892,0.46329328954491067,0.15510765372216467,0.8448923462778353,-0.782513688667531,0.21748631133246887,0.23503366044365182,0.7649663395563482,-0.4342935693015345,0.5657064306984655,0.07323298172098142,0.9267670182790186
KAT5,black,0.8380559543565205,0.1619440456434795,0.8268749826634835,0.17312501733651645,-0.5868850452384046,0.41311495476159543,-0.9883660516939367,0.01163394830606337,0.47869204777086355,0.5213079522291364,0.5283351746481965,0.47166482535180343,0.1119297959472589,0.8880702040527411,-0.14694867421143396,0.853051325788566,0.8041558542128777,0.19584414578712214,-0.14416713030176656,0.8558328696982334,-0.450633403464324,0.549366596535676,-0.6365350613218126,0.3634649386781874,0.30188526165937773,0.6981147383406223
VPS37A,black,0.8380103183177168,0.1619896816822832,0.8796563269360749,0.12034367306392507,-0.9391535092571193,0.06084649074288073,-0.6788865762783155,0.3211134237216845,0.8900956765698074,0.1099043234301926,-0.043411257752514254,0.9565887422474857,-0.4489390408575357,0.5510609591424642,0.3642155420278819,0.6357844579721181,0.20965962018701956,0.7903403798129804,0.1275203926631985,0.8724796073368015,-0.6253991471164284,0.3746008528835715,0.2559717164488421,0.7440282835511578,-0.5967907891771119,0.40320921082288796
RFX5,black,0.8378153792988585,0.16218462070114145,0.8716944806036099,0.1283055193963901,-0.9763777649940987,0.02362223500590134,-0.5736566417873926,0.4263433582126074,0.7880277765168985,0.21197222348310144,0.027412652433640248,0.9725873475663598,-0.6304296431663411,0.3695703568336588,0.5560124435441457,0.4439875564558543,0.024165066280126605,0.9758349337198734,-0.029342257012258132,0.9706577429877419,-0.4532852418709714,0.5467147581290286,0.33478873648663876,0.6652112635133611,-0.6825250205629163,0.3174749794370837
ARHGAP28,black,0.8377112324013611,0.16228876759863886,0.8804490188329933,0.11955098116700662,-0.8837344261961755,0.1162655738038245,-0.7775879585964004,0.22241204140359958,0.9274274666375001,0.0725725333624999,-0.04616890554436949,0.9538310944556305,-0.2756387075785669,0.7243612924214331,0.18781153635981263,0.8121884636401874,0.38817351172043807,0.6118264882795619,0.21507700427133003,0.78492299572867,-0.7313160026897096,0.26868399731029025,0.12752849564738888,0.8724715043526111,-0.4628183497009384,0.5371816502990616
