gene_id	logFC	logCPM	LR	PValue	FDR
CCNI	1.96770233462477	9.31551294958856	15.9329666478639	6.56256716993031e-05	0.000322669797568361
ITSN2	1.96884433725699	7.47847444531872	18.9748549527724	1.32452517793148e-05	7.60356251530831e-05
TLR2	1.96887824459164	4.73407983942089	19.6567789603435	9.26739479619548e-06	5.50519025069414e-05
UNG	1.96907784890572	4.15739911765761	15.0882915840131	0.000102597673147796	0.000481832118711508
ELF1	1.97558577845396	7.45234721765815	23.6701808306143	1.14340542743454e-06	8.14156778308382e-06
IRF9	1.97674295449355	6.84341808250923	25.5506016147365	4.30931667390863e-07	3.32653898304135e-06
IL27RA	1.97770695559632	6.2922515363419	16.9098628777939	3.91973862282156e-05	0.000203637094011431
YBX3	1.97778446452224	8.44161022648638	15.2139895694553	9.59896859973536e-05	0.000454099729395555
SFXN5	1.97839696251263	4.89107505525716	23.9701746414451	9.78396527146413e-07	7.10542203970248e-06
PIAS1	1.97879918241397	6.31389691337487	33.3668118279472	7.63152407158118e-09	7.82004066649281e-08
TMCC1	1.97892434221647	6.63805945978362	26.7294431873583	2.34028198500548e-07	1.88414236130226e-06
STK10	1.97933878510807	7.62611043725094	14.5288113220934	0.000138032310872839	0.000630709615454132
ANGPT1	1.98084359570433	3.93202400612316	9.033023580101	0.00265145563499725	0.00859137093779479
LOC101083591	1.98119320236916	3.75804649335393	9.80984331647563	0.00173580293921764	0.00594286768246599
ARRDC1	1.98394552906313	6.32878862985773	31.3209860451966	2.18702743084248e-08	2.10105131588183e-07
TJP2	1.98484600371547	7.22402273976574	20.3026656989495	6.61084158319203e-06	4.04259431948877e-05
MAPRE3	1.98545415749649	5.37479893619774	30.5888541725084	3.18920609668952e-08	3.00660571888338e-07
MTMR10	1.98709767286001	6.21237639840522	34.2392705587137	4.87355002527379e-09	5.19541811386417e-08
EHD4	1.98727186604199	6.49521843349432	18.0850409509724	2.1125462867552e-05	0.00011589859916843
ARID4B	1.9883675374608	7.45366050397083	20.7913600940363	5.12134835930209e-06	3.20493345346311e-05
CDKAL1	1.9924497169322	5.55613671961483	36.6013148158271	1.44933926991078e-09	1.68018367836035e-08
STK38	1.99547288154088	8.31710586057715	18.8792158400355	1.39261730310916e-05	7.95963278253553e-05
CENPU	1.99882338660993	4.28743370367041	21.1017620136666	4.35527470339636e-06	2.76107584215799e-05
PNISR	1.99927719703153	7.63112177575615	16.3223731389847	5.34293989144925e-05	0.000268641380059343
TRIM36	2.0029105410304	4.25023247708996	14.8863186397693	0.000114188145873552	0.000531379800815116
ZNRF2	2.00417824827705	6.46047301248824	24.3226399155779	8.14757945267568e-07	6.01015655747403e-06
KCNK5	2.00525756677103	4.05845440062688	5.8324071581186	0.0157335805181264	0.0386796135517747
POLQ	2.00869777255251	5.11964742426672	6.268819930677	0.0122880955475585	0.0315046100509875
LOC101100156	2.01094967905635	3.38002089998078	9.90211920700857	0.00165088552440822	0.00569670542645517
HECA	2.01394398262188	8.49088062248146	21.5778783694667	3.39747980550692e-06	2.20581791359746e-05
SLAIN2	2.0150340470056	7.83785952125104	21.1305196355741	4.29040406652547e-06	2.72389804378393e-05
RASSF7	2.01673049167605	3.03553279824127	7.49547175257489	0.0061854325804671	0.0177036928578996
CCDC138	2.01785294504227	3.54890024383453	11.9665407987746	0.000541644014331447	0.00213967320893184
LOC101083514	2.01810186858062	4.43918376058993	12.8367630667561	0.000339875061731605	0.00140788523835349
UBALD2	2.01908107791471	6.50497591181279	29.4517688774692	5.73256938252267e-08	5.17746097775946e-07
FAM117B	2.02031416180733	4.72272191800037	22.9573990462282	1.65631463520883e-06	1.14640384798763e-05
IRF2	2.02035565428222	6.11250215392782	19.3876139428097	1.06696824154466e-05	6.27603058439738e-05
ATF7IP	2.02132028124709	7.41710090394867	25.4242711025276	4.60092972460388e-07	3.53708264651299e-06
STMN1	2.0220969399603	5.77662458062066	5.80553671396947	0.0159757909013807	0.0391942987472087
MAP3K3	2.02506873414524	6.95078281917748	28.9593724830683	7.39123243072204e-08	6.55372589110576e-07
CCDC77	2.02696066261098	4.78589919050334	24.0057361289739	9.60491240890629e-07	6.99862662643405e-06
DYRK2	2.02702580684352	7.99590736419133	17.8086508456459	2.44270112971998e-05	0.000132081156987842
MYLIP	2.03013822379643	5.48170572040117	24.3730551060997	7.93711159381408e-07	5.8647925363526e-06
SLC4A7	2.0302228843826	8.03453117635492	22.2417892107922	2.40384521197321e-06	1.60865174486101e-05
MUTYH	2.0306721734067	4.43692081365046	26.9779127374031	2.0579367344213e-07	1.67741017178948e-06
RYBP	2.03242670979195	5.51882229682809	35.4219818145405	2.65473823112635e-09	2.95488802434869e-08
CTSW	2.03677181968458	5.41408939914314	8.26485324262658	0.00404199284585325	0.012304122504322
EPM2AIP1	2.03790445122122	4.88536521402105	33.863613037845	5.91140126888224e-09	6.20106465639821e-08
MLLT6	2.03933552956889	7.7787780052097	21.6723181718529	3.23424979690463e-06	2.11054500670211e-05
SWT1	2.0393815081666	5.10673095359203	23.722064364491	1.11299191368762e-06	7.93793091484927e-06
CCDC66	2.04092636733029	6.5229539330774	33.7382907421617	6.30473929740543e-09	6.5768755007831e-08
LENG8	2.0445871527328	6.31294128174343	20.5099494947679	5.93220913904723e-06	3.66173003441754e-05
TLK1	2.04497017071239	7.07431197085486	22.8709016030898	1.73254955172115e-06	1.19664461932824e-05
CEP70	2.04564529552436	4.64665435095799	20.0488808086237	7.54876977808117e-06	4.54832441679335e-05
VSIR	2.04826396336192	7.47019254345328	16.885546095791	3.97027631709786e-05	0.000205855140692514
RPIA	2.04862172875969	5.25354200114961	38.0524766287749	6.88672400600699e-10	8.36800732692868e-09
NXPE3	2.05047297116104	3.63496490974017	13.823772048715	0.000200779762790319	0.00088150981167526
GABARAPL2	2.0534324557457	6.62567086375277	30.8755330222604	2.751185036783e-08	2.61621748099299e-07
CCDC186	2.05513135433992	6.96959768636063	28.9237484249161	7.52842122594376e-08	6.66636111660323e-07
NCK2	2.05640692124357	7.76782764747456	18.3062943785799	1.88084693172506e-05	0.000104144954789148
ARID3B	2.05717721523575	4.64159022193696	6.79814568110872	0.0091252598646296	0.0245290424423462
AFTPH	2.05878249553477	7.10123015568543	26.8252519876626	2.22708122515411e-07	1.80073856547735e-06
SYVN1	2.05997543413155	5.83754691237751	30.4302015808974	3.46097601643047e-08	3.2534662079955e-07
MAN1A1	2.06204932882307	6.91456131409138	25.9729420396941	3.46236220577962e-07	2.71101308033687e-06
TLE1	2.06212614497248	4.74892578160665	14.2566261268184	0.000159498279946143	0.000717059242114844
BCL2	2.06386471770671	6.1382394333593	30.1484754045951	4.0020167518194e-08	3.71155235576862e-07
LOC111557485	2.06704224116908	2.21503260044328	6.59770410244964	0.0102110352612825	0.0269888047802235
CDC23	2.06895304732864	5.89661197624842	35.2038184293164	2.96940755757421e-09	3.27183336507526e-08
CCNG2	2.06901058620348	7.56163145267545	19.953785909177	7.933670537005e-06	4.77147380646731e-05
NFKBIA	2.06906389684288	7.0566100261588	22.0258439663414	2.69003863108295e-06	1.7837987344973e-05
MOB1A	2.07085673715479	8.37021066970947	19.1864608882611	1.18551248330404e-05	6.88384084884907e-05
CASP7	2.07189350890872	5.15678828795451	36.833165541093	1.28682442127647e-09	1.49840256259194e-08
CDC42SE2	2.07756449169277	7.36780852859139	25.5926122928608	4.21650651933807e-07	3.2622651193285e-06
TSPAN5	2.08225249801421	6.00976222702547	33.3351324296022	7.75685723047985e-09	7.92165271872273e-08
LOC111556576	2.08302437884756	1.69095276383806	5.42586188104661	0.0198406399872617	0.0469132826221324
ID2	2.08515028251154	6.16051037723477	24.2154245543646	8.61396384806228e-07	6.32220624038709e-06
LOC101097746	2.09044597953571	4.25452585284423	17.9168113158621	2.30773609283241e-05	0.000125609376799003
PRKX	2.09490536776317	5.95363217732754	39.077529527263	4.07305018159059e-10	5.12961972485733e-09
SNX29	2.09796638915824	6.19672898736825	26.984323978686	2.05112203029034e-07	1.67289461799255e-06
KLF13	2.09873481798312	8.37797092442366	23.1234526492957	1.51926291815693e-06	1.06105839675218e-05
