genes	logFC	logCPM	LR	PValue	FDR
EPHA2	-4.80005509478287	4.15513410582443	125.113650465779	4.80617169602301e-29	3.44937097182019e-28
PDGFA	-4.7886911074215	3.95768507223045	127.672210500734	1.32399440259517e-29	9.71361346270963e-29
MOXD1	-4.78197666717667	2.68472735920598	26.7003432987837	2.37579302930082e-07	5.08136031490758e-07
P3H2	-4.78183939444354	2.69604896268146	58.4798184218408	2.05387007919824e-14	7.09013983175045e-14
FAM167A	-4.78019756143516	2.91513418517792	79.2557546576981	5.45681847316235e-19	2.4142911783319e-18
10-Sep	-4.76803419720989	6.97533990265061	354.757970097793	3.89981386115387e-79	1.34841553263543e-77
COL14A1	-4.76348887996092	4.33924401873048	31.7787516831065	1.72772582135415e-08	4.0322982117272e-08
PRDM5	-4.76254995776614	3.71803466345781	200.475434419657	1.64468248367293e-45	2.10849602305465e-44
COL23A1	-4.76160217114602	3.30063616825487	51.6698104799634	6.56647181644182e-13	2.07517243363514e-12
LOC102901925	-4.76145769050949	1.01649881965628	63.4272152965506	1.66403044863483e-15	6.17227514985432e-15
LOC109500934	-4.75562107250752	0.834698978023163	44.8801761444959	2.09467798308105e-11	6.035536628194e-11
MAGI1	-4.75161625913674	4.71163204366022	34.3113390943923	4.69637514322051e-09	1.1454075306754e-08
CREB3L1	-4.74071970207561	3.07054764904674	91.2700414470478	1.25344044424191e-21	6.42257505339208e-21
LOC109495957	-4.74025530610301	3.59142291524332	147.746475056113	5.38952851794314e-34	4.66501673126931e-33
MATN4	-4.73392342273152	2.2343058816534	20.6334100159866	5.56170254680201e-06	1.06708238241752e-05
GALNT15	-4.73079081588445	3.53432470300472	43.1850966314869	4.97985565620895e-11	1.39166193712084e-10
ATP10A	-4.72896272308906	6.50886131463394	144.66506337977	2.54206692222106e-33	2.14281288208399e-32
CA3	-4.72715987080105	1.67512655104035	42.1469290656668	8.4666797345893e-11	2.32923994319536e-10
HAND2	-4.72573444886066	1.34204160813074	26.818636374158	2.234718248205e-07	4.78915939632767e-07
TNFSF18	-4.72162421324166	2.22137907865331	28.7566087799102	8.2069385584826e-08	1.81739159664749e-07
PMEPA1	-4.72098989138771	5.06973843545046	193.551193118567	5.33603923039921e-44	6.47402614811463e-43
MFAP4	-4.72029464033423	3.41256493492639	55.2289000313308	1.07279753177456e-13	3.5503899839098e-13
LDOC1	-4.71373291798248	0.137735114085498	36.045392713294	1.92774046763784e-09	4.84735207859723e-09
TNFSF4	-4.7100200956742	2.66458855321846	51.8619148675779	5.95442458085068e-13	1.88590898377287e-12
SPTLC3	-4.70697950287022	2.78775982574649	44.7996682937375	2.18259666163935e-11	6.28044380748832e-11
TSPAN4	-4.70443442031498	4.78102759804584	295.408064909461	3.29780312633268e-66	7.99469303013394e-65
SLC2A10	-4.70397955217447	4.24285107850279	155.803246933258	9.34679084063184e-36	8.64745778132202e-35
TFAP2A	-4.69940623147875	0.749047384002233	40.1994115436631	2.29317310836433e-10	6.12954478312431e-10
GOLT1A	-4.69712007912781	0.478104681149895	42.6317393188997	6.60784287257248e-11	1.82996241201562e-10
PDE10A	-4.69248193053328	4.31581946647753	55.205344650532	1.08573115319068e-13	3.59135026486284e-13
CLBA1	-4.68606943991683	2.22858640372765	118.711906769124	1.21100386388317e-27	8.09239214119233e-27
CDO1	-4.67624796437729	0.890390227820109	63.4141524160463	1.67510198364662e-15	6.21155557305648e-15
LOC105260673	-4.67473162498623	0.322007152499531	45.5883424521846	1.45907374864009e-11	4.25258172569747e-11
CH25H	-4.66577583999576	0.747615161115322	50.8756453724161	9.84070791137543e-13	3.07376144182633e-12
PAK3	-4.66446274891599	3.46865931870442	49.3152974061365	2.17956206964997e-12	6.65951480982603e-12
TMEM51	-4.66113878677272	4.07500956676293	159.55167975407	1.41775681401916e-36	1.34744359840863e-35
PLXNA1	-4.65781358330836	5.09157783440245	91.1190119995787	1.35285567604957e-21	6.92097566601001e-21
HOXC8	-4.65437489616361	1.65587896435979	53.0611399593016	3.23326088752943e-13	1.03833081838812e-12
TTR	-4.64719786178168	1.1276532054905	24.4373464578902	7.67660438759736e-07	1.57651539469495e-06
