genes	DC1MINUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	X2654MINUS	X2654PLUS
LOC111556185	2.684232707185938	3.440081899043468	3.390618339225474	2.842400576717584	2.669303079192729	2.918309684865315	2.507974574269244
LIF	3.8752876066353763	2.6176012446704697	2.9199112742549325	3.9714121904191537	3.756468252653062	2.0223592680704336	2.2221339785319847
HORMAD2	1.943872492468887	3.0570736031964727	2.954284465529155	3.1685368060567902	2.989380036862231	0.1242241527296505	0.274073505438352
LOC111557289	1.565190898744411	1.771864408973504	1.3243702334260876	1.7449205374412693	2.1018896067861497	-0.6812183714731703	0.5862367657201865
MTMR3	6.918425688444478	6.8833750380204535	6.908226964718093	7.047647845984448	7.036459054268338	7.133316765444918	7.019444138151006
ASCC2	6.1679329922574455	6.057533977635224	6.17778329439254	6.348824282344178	6.411711045713922	6.722406073516071	6.644420921458784
LOC105261050	5.3038678385241855	5.239172232284339	5.154776179244008	5.529077213742586	5.360886548680889	5.52808748350649	5.577482832705838
ZMAT5	2.413515137982675	3.18422990093778	3.3843291720254567	2.410482464581618	2.525543760486355	2.8025541150910205	2.6150328928109015
NF2	6.3798654986911565	6.521549584460787	6.542897904999624	6.734730015044675	6.7243183829441975	6.151588236941215	6.1039922277936896
NIPSNAP1	-0.318143102197678	1.771864408973504	2.035946419575249	-0.6828469777518283	0.025140594446248617	-1.356617171290594	-1.814980707179356
THOC5	4.529307028344181	4.63509082501154	4.695271132509152	4.907925154072647	4.939926492311458	4.581218138351299	4.752931694771143
AP1B1	6.324599213774053	6.1861716170552725	6.286327908929583	6.811509662865035	6.743012358794097	6.966510407534419	6.845917006777222
GAS2L1	5.373229627810279	5.55020279888707	5.6723609339405	5.637443425851993	5.42788981378848	6.019126537850555	5.876628157614562
EWSR1	6.7881159627847625	6.451854433781412	6.51438372406341	6.8547828816996486	6.8521530034491995	6.652243668950892	6.6052793944657004
RHBDD3	2.4249231226642434	2.7713485358088468	3.107226425186702	2.4398023850167507	2.4210737185325404	2.2157810138256684	1.9765690474356254
EMID1	-0.1734944115363147	0.25225601758196525	0.18352035578959827	-0.1883226547262797	-0.29252089268143927	-2.667902100167122	-1.3899522264640403
KREMEN1	4.583758308347061	4.2141520956971155	4.296982486446673	5.054125513881896	5.003327501765061	3.990447427462849	3.933487157205182
ZNRF3	2.8200399459577183	2.873008814386379	2.937200238055445	2.842400576717584	2.8978076110643394	2.0223592680704336	2.3097405041890786
XBP1	8.295201200084607	8.34189287479037	8.252913767391574	8.517829712351297	8.483381480201126	8.384025237011395	8.458361638059325
CCDC117	5.676200178873762	5.638355488114392	5.599575265747133	5.712439070666787	5.739300502633863	5.3436711305792155	5.308209522007918
HSCB	1.6257627108589847	2.340189019123911	2.18811959396741	2.1866427740783334	1.7541934970743056	1.8924934757545095	1.4427805177910478
CHEK2	0.683214982202111	1.4256939631545613	1.8837543237804537	1.450606505502722	1.4396785808514083	1.315433266832053	1.189211375424771
TTC28	5.060460448318382	6.094432224819687	6.127835469181696	5.1235273343316745	4.956039861953098	5.470461217794018	5.503547102358355
PITPNB	3.9000226519070385	3.9992229267939066	3.7692834380245763	4.436502438495784	4.62588273578783	4.210798012782701	4.166454595517405
MN1	3.8543460974572743	3.6833905592666243	3.616687074183577	3.625119419541628	3.494917193555712	2.8145566649570988	2.495573576398511
LOC105261049	0.1896218315928966	-2.6821131983485897	-1.1476504369611014	0.47197500356680055	-0.1477424164183883	-3.3354087822339205	-4.61583311242201
LOC109493289	3.1778704271068303	2.0374244201952543	1.9869781658423709	2.6961766629556836	2.7078767385812927	3.339729694511126	3.2531270882768912
TPST2	4.3524169542613045	3.14724575972768	2.937200238055445	4.117674559430705	4.167344500081383	3.908825184058965	3.5634609420670387
TFIP11	4.5684093718701675	4.205183125968306	4.130357495585667	4.592591571086237	4.506962853700572	4.563546482282513	4.475150160901023
SRRD	1.9596459663016912	1.8959587404165208	2.129162126908383	2.4779911183677603	2.248650369392129	1.7497708076433625	2.4056471111131055
HPS4	4.835311618531006	4.940872174998097	5.139920018600851	4.766591071761504	4.62420307313587	4.639732434679443	4.602038942921206
ASPHD2	1.0794694086462315	0.5454422922214808	0.8272695591482225	1.8935982291036197	2.23990247465244	0.5829597249669758	1.0937133100793421
