gene_id	4438	4460	4474	4501	4510	4520	DC1MINUS	DC1PLUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	X2654MINUS	X2654PLUS
LOC109503571	1.4666800737399308	0.9400568972608804	1.911147204443216	2.4426493863414893	1.558558481649463	1.7966487531993363	1.5164071858869288	1.1749277895317347	-0.3910287378208441	0.20401718475147174	0.9129790553397372	0.7662817129256938	0.18595520588386305	0.5619571024942082
EIF5A2	4.555082270862844	5.45623086114946	4.545897222833791	3.847397488289987	4.011716340442202	4.414410146953312	6.362280448950251	6.33910611282017	6.511651296506404	6.428209930655772	6.5914251219595235	6.617392906471965	6.284161212182298	6.362173882039307
RPL22L1	6.216547129917885	6.914662146093351	6.3471252219382395	6.3426317084990576	6.0997198827979044	6.374996340723359	6.168715156711746	6.167372061838652	5.981841779387207	5.813925615404152	5.586162497129589	5.913827193184096	6.924323838099904	6.963465121490094
SKIL	6.3951671741159135	6.26943615251797	6.125483143562524	6.234154224675743	6.0689136194917515	6.196262835275719	7.001719961211996	6.955290736095524	7.1203201186502865	6.965318442147909	6.7452654098421	6.818102132178461	6.38387519419364	6.373265164586805
PRKCI	3.7601415465285952	3.6123138413135707	3.520599782738455	3.9091827915999966	2.715412789612882	3.169992120427172	6.527882757946196	6.510151509702165	6.139005313132283	6.057317128070962	6.918929064172178	6.971790834444484	6.448836055874226	6.525185034397076
PHC3	7.389347861296426	7.059096690497352	6.952618388778253	7.831417993395375	7.263314878823773	6.80035564799883	5.515600734358752	5.478167919985212	5.667843068093526	5.5690402003441575	5.641399952253493	5.696687333267654	5.193240085062296	5.233074876287593
LOC111562272	0.5114850271233221	-0.3447730395523221	0.9905678118549003	2.0863445160624194	0.5817913959438266	-1.2020405720087441	-3.412217852884501	-2.2411150280012055	-1.9543069676656004	-4.386261900306119	-2.2695529169794177	-2.514755487443039	-2.5061453660920763	-1.4530322290390392
GPR160	0.9830178529824504	0.06828771402697985	0.4521631348304556	2.1559600541111794	0.43490075444981974	-0.18973997821035712	-2.8360121575634283	-1.9859381681023365	-2.9223796843870127	-3.3510024729851686	-2.0157367498240926	-1.7267279448446873	-3.1594303636665324	-3.3115071325481598
SEC62	5.896377186037104	6.211325366582501	5.90878590570219	5.646294069523714	5.433782655663137	5.836289149952834	7.3191727224026115	7.151193216831106	7.364032917906246	7.258932692490231	7.2460608478564374	7.396886360238515	7.3790242859298365	7.359432372593145
LRRC34	0.9243813221283981	0.56904161506601	0.05383748079916407	0.9009825114430646	1.4091553764210698	-0.7358865407678542	-1.2628086961481944	-1.4141674333840775	-1.3801458623818026	-1.3251121455251773	-2.577763160752314	-2.514755487443039	-1.2094374976704991	-1.4530322290390392
MYNN	5.388549781108072	5.47045734741384	5.167625986588963	5.0630272088352974	4.807939228776064	5.065309907901264	5.391132005021335	5.2064095584316545	5.45341036297615	5.3522171504302545	5.1257715183969506	5.22007773741927	5.180545720231161	5.239150210450628
MECOM	-2.0313075143082227	0.9069654489170618	-0.8811862409364652	-0.41959606260259985	1.3282204351300197	-1.625337120903037	2.9367114269609216	3.055689043596376	5.503743430712411	5.4465498221900095	2.8695699960506498	2.7695626851019335	0.9311577672817243	1.0038371479520558
GOLIM4	4.124838440270097	3.3606275761784934	4.189255215140124	4.091980194570641	3.3490863721821262	3.5009884956791697	7.441330879107941	7.302108908198779	7.613308377996414	7.500380503525582	7.331443652249196	7.401505158175472	7.525753874526566	7.492114892563099
SERPINI1	6.088877478988147	5.7824133908502215	6.004607485209096	6.306095730638824	6.258312837806594	6.126083628598919	3.3030669094884195	3.0907640924154003	3.2992918588982936	3.2755202831291053	2.68500080596884	2.8733498070668837	4.749907797534988	4.931751325102434
PDCD10	6.195779880035265	6.2472984225095125	6.298043133495176	6.392756503567369	5.945456149995877	6.327141867446771	5.869731748341215	5.801904676076692	5.849238032140841	5.649131994705901	6.084640700535435	6.07353061200668	6.295979421177133	6.475443742380832
WDR49	0.0992975324092819	-0.3447730395523221	-0.06566404522246537	0.22345056616024497	2.087324426158418	-0.2836661673925157	-4.386261900306119	-4.386261900306119	-4.386261900306119	-3.3510024729851686	-4.386261900306119	-4.386261900306113	-4.386261900306113	-3.3115071325481598
NMD3	5.249176270366209	5.384418231358011	5.188995764643025	5.089956038513374	4.936371260942673	5.17530629002459	6.1312413512415365	6.041256184817356	5.918066404055764	5.787952703853545	6.12395821428403	6.28061656160105	5.923368685381907	5.870574474274987
B3GALNT1	-0.7396170104891001	-0.3447730395523221	-0.8811862409364652	0.3867950448265273	0.27134094590732627	0.622854690443668	5.187127017919989	5.155964430490637	5.721710181540749	5.677702480725587	5.6333059372268695	5.729039949152879	6.340025894062207	6.388833270191206
PPM1L	3.0349051364059894	2.782064273540847	2.820027214318603	2.2005715589094033	2.9225847091531896	2.0292816103509086	1.0543888145423226	0.35117051824738155	2.157869088009742	1.9304479455520387	1.5849400059721193	2.267914698419781	1.6437463621719095	0.7997492210864474
LOC111562278	0.5890370232941319	0.56904161506601	0.929374370624153	1.398970493526793	1.3282204351300197	0.9461768430364639	0.8846118788907953	0.7872482407047701	1.2389693416664007	1.0393077152655439	0.6450375471582209	1.1846572597621587	0.3400219542425503	0.454659495790835
KPNA4	6.582216861036625	6.718825107171332	6.4703902263933495	6.679489586559904	6.335405312534667	6.5044551120018665	7.225369848045219	7.2217176676530626	7.163271670113099	7.233177712152651	7.479395903661153	7.764587270049325	7.588601827143752	7.599910941674195
LOC111556473	10.378147637796623	10.515187234609911	10.597249838943313	10.304320293642675	9.731505633081582	10.513374834752039	7.964905169521894	7.608981047809648	7.919216579135439	7.8306056623183915	7.456968618115397	7.520931007974153	7.617616079307221	7.988654545738112
TRIM59	4.78668878574082	4.36337736467939	4.2561975054668775	5.228353084157326	4.111830684672471	4.6862257072730085	4.247980656716004	4.1278177993312655	4.405753657088069	4.233981115971987	4.20467407955792	4.170643260805843	4.39296937142879	4.399461494366901
