genes	4438	4460	4474	4501	4510	4520	DC1MINUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	X2654MINUS	X2654PLUS
ZNF202	5.065294175023088	4.792223759087037	4.691085043862097	4.779033788161144	4.88333537858006	4.6587844899374105	4.374437861302761	4.111172760994999	4.335638819243483	4.09812567051433	4.144492757579553	3.638305708026916	3.8691028809162384
LOC101096008	1.3167655725353011	1.6535674679616166	5.516033380247825	1.9255978678920418	1.9667432549497643	1.7976030003303216	5.295643175454009	6.24000713971972	6.345009079557671	4.655489647872239	4.865787575138567	5.320835991493476	5.2121821258739764
LOC111556583	1.1168519462714936	1.454242705193947	5.483648095554548	1.0928661369902735	2.5454778606005446	1.925855301499551	4.973766778613612	5.96644777753317	5.975929327772299	4.269017432663581	4.277542097057362	5.1306762382591025	4.985788284838378
TBRG1	5.630882588799179	5.822300853089153	5.836116817722236	5.560636420744813	5.348317651062564	5.702811102711871	5.647872635830709	5.864721879927119	5.783925107909955	5.458453605564691	5.50523490821079	5.881982874978982	5.88175943155819
SIAE	0.7725188831237351	1.0212400203281131	0.7613768119686365	0.7794542503602064	1.5142860319628721	-0.392988795523632	2.683433480939498	3.965266396758922	3.980505244999268	3.6583783137545423	3.7619851224248206	4.008293170426825	3.990415236440826
MSANTD2	3.845140687518624	3.7922115310167754	3.87840713806903	3.549951825161306	3.7975777026555435	3.6091395037111624	4.058060248276246	3.8483047841213187	3.9582095646217095	3.9299464054340776	4.116851938367111	3.29262663208418	3.4624531585225875
LOC102899619	0.6508609973659233	1.5067145410956713	-0.779453515568937	1.2526996201906042	1.9667432549497643	-0.1667781704281878	-0.6574788914622618	-0.43487107230930283	0.3887864671199776	0.7691204334979619	1.2629180204809454	1.017835648303602	1.3577877815234738
CCDC15	5.2354182538574765	5.165035807572155	5.380213101578801	5.766711631708042	5.461744793748061	4.9457506124098725	3.336882446651347	3.6805335472333613	3.5387363945633297	3.7764514098325934	3.834743232168116	2.921776063731308	3.2764890315127464
SLC37A2	6.451147559297727	6.052620567309798	6.579398942520255	6.940547533858359	6.428971960443103	6.663994988154905	-0.8777375911069621	2.3326848209460564	2.3186927027025037	0.017175736146732724	1.0022865726488206	-0.1292638450370057	0.03521697761662632
TMEM218	2.393406648874428	2.4807778634591457	2.0739471668531984	2.535581481094172	2.0907196819092473	2.2141054321340405	2.4064730567309516	2.9847789462462946	2.73007367821541	2.9164634180502893	2.9464689021294936	3.0128146128237363	3.489049187709786
PKNOX2	-0.34504275331995243	-1.9799289655954033	-0.6643844125956845	0.5524617763230876	1.6813736817309073	-1.420002967352131	-2.120026849154894	2.4117589481627766	1.936157231383919	-0.5867320338546549	-0.8925061847893478	0.29017973136734987	0.6205365742519366
FEZ1	-1.2553269661707764	-0.9792608576592886	-1.5532769632000665	-4.307213091646911	0.14115248559535884	-1.6939862851841265	-0.14675438821841522	2.606812253988229	2.4003431025761297	-1.4812391578952586	-2.5348816046134757	0.614745027878869	0.6205365742519366
EI24	5.357108915616187	5.609364989719293	5.4805255274583615	5.056869217743756	4.950337336938408	5.305438871001801	5.85111280348147	6.021510545715602	5.8616578196265605	6.1506613114024775	6.252954221787184	5.965549924105673	6.016981875418417
STT3A	6.804900554578008	6.886209271063568	6.983992092583764	6.562409518719221	6.220843116858331	6.753145632865362	7.974570691511997	7.872046586385033	7.859815801985027	7.811278441263526	7.902751080728081	8.0240130732737	7.943775134558896
CHEK1	2.1606443041703027	2.594240503800546	2.770273884036697	2.185431596399397	2.629653283866129	2.4878810669767106	3.3432766608832902	3.0355971561607897	3.0413439734791035	2.719942799850854	2.9464689021294936	2.8980895933837445	3.0629566886064765
HYLS1	3.673537259785171	4.007796814789885	3.288797213624344	3.0084802586360233	3.0519495379871664	3.601477047040122	2.047824864973889	1.9642834718380004	1.802378379217259	2.7283396936177358	2.6211902022197635	1.7314251919466659	1.9235238838516393
PUS3	4.043496660499705	4.815810777696829	3.8399386696947584	3.750773888626681	3.8511572133830727	4.058570950073326	3.875997309646724	3.6152095346933795	3.48983577494275	3.675849146528945	3.7423854534593493	4.008293170426825	3.858942483702928
CDON	1.2624172276868908	2.056949428436236	1.1552197091732854	0.9755397678960603	2.58817939713004	0.35464240701421906	5.5068942556579925	5.605946466163401	5.6512362863287695	5.680248608190442	5.719205234475411	5.342935898622963	5.0272091928472165
RPUSD4	3.8405106798018664	3.641966211211744	4.219150048319177	3.8119488528378995	4.260538162893745	3.935978559288596	3.927972364142057	4.016764389690991	4.216710629209393	3.9042366618413955	4.025205756699013	3.881161664060236	3.59691222097255
FAM118B	3.6096665001631694	3.4609993112387785	3.652882999319881	3.3165841594922254	3.5608244727818703	3.788559170787674	5.1573358284055715	5.090298447956035	4.99362411285542	5.389975567724023	5.462948780986686	4.932145897156782	5.119469786341246
