genes	DC1MINUS	DC2MINUES	DC4MINUS	X2654MINUS
LOC101100564	1.9095052668207393	2.389267822260477	1.650121567162524	3.8694929634382835
SLC25A27	1.0776676343662763	1.667015269646582	1.1557081056312664	1.2824095892134135
PLA2G7	3.9494332409137667	2.984337864809049	4.246724319658994	6.014210824775068
TNFRSF21	5.88596552029667	5.4972437401316565	4.178708507035029	7.54820721453635
CD2AP	6.867829615862565	6.884938995432318	6.602765906744674	6.923087935741972
ADGRF2	2.4110368473582393	-2.671418273567493	-0.4452698476703302	-1.8597543552574969
ADGRF4	0.18877594182489058	0.7199857482616369	-0.5186589868968674	-2.653513013223081
MUT	6.021501506920295	6.340019575523744	6.111522854723947	6.280770185660753
CENPQ	2.6136613137135796	3.0787057473463992	2.5263979440889206	2.754096643098354
MCM3	5.451925591055971	4.643482790117889	5.776838579399766	5.539273325022613
LOC109499700	1.1886922513373555	0.8783064650340238	1.7934547987199374	2.2697980196773515
PAQR8	3.201926110934404	3.1611287083161588	3.199344469116051	4.224722242950838
EFHC1	2.399541495477032	2.3573504038180326	2.9569442728572963	2.3042618145571754
TRAM2	6.654705798367787	7.028235367834708	6.643810926366332	6.267731008941461
TMEM14A	3.6431896885671957	4.380496084686695	3.94620275590366	3.8752355816865616
GSTA4	6.4849321246593785	6.7449663648308	6.205669238535404	6.487044181426596
ICK	5.316368890981286	5.914991693632087	5.749747869297794	4.570980565587858
FBXO9	4.92558042748	5.189617712502986	4.821349868863525	4.948626653888339
ELOVL5	6.158237578154113	5.8524430398266345	6.370350296039591	7.082988858942913
GCLC	4.786874790137812	5.651063156033199	4.525286549063221	5.438151277673117
KLHL31	0.38806315296789634	1.4008811213108887	0.8109703306978129	1.9379228996290072
LRRC1	4.499818676502394	4.3044196353220805	4.547929515290626	-0.818580234506317
TINAG	0.5631331987001993	-3.073852473752931	-0.06944222668932157	-4.56176633144625
COL21A1	4.3345973171776215	3.6568923293471496	4.125506019603856	3.4209378642624255
DST	9.958813782732458	10.136327667996623	10.529088789002524	10.515941482889444
BEND6	5.3733048706636035	5.038471682581652	4.999479088980255	5.771007044244758
KIAA1586	1.1617267828478248	0.8480018116862679	0.9260733099688178	1.0982663227907588
LOC101099964	4.870439117857862	5.113636863735808	4.937375687109889	4.653496520751586
BAG2	6.643176328107365	7.060393028887309	6.9465705938201285	6.516739356792887
RAB23	6.634008579870027	7.133275812331125	6.662088585604206	6.147126021792495
PRIM2	2.291741011187857	2.1617949502868314	2.0305803764435826	2.1422464610885665
KHDRBS2	-3.5640208744288153	-1.6905320987439778	0.5125321811689992	-4.56176633144625
PTP4A1	5.655311960417339	5.736258675512946	5.7681862040600755	5.735141555401032
PHF3	7.171814636542301	7.169339170870196	7.249442661732913	6.925857388636986
LOC111560589	0.38806315296789634	-1.1119975643709594	-0.24515241766547013	-1.5828642649950855
LMBRD1	5.5872770536458845	5.68038264134773	5.3647254925562375	5.706437441981141
FAM135A	6.587908246280566	6.188780546763607	6.49210925129621	5.828376642092864
SDHAF4	2.106190705706593	2.2686149956140147	2.657116982334325	2.449905817678342
SMAP1	5.1819191588524856	5.116817731741523	5.1222469999385885	5.146801230699235
B3GAT2	0.8600909135325941	0.6861245806189369	1.0067482968959653	0.6927083378660773
OGFRL1	6.492391423101111	6.159003418414856	6.306051394996274	6.131615926120077
KCNQ5	4.456097558525016	3.845101147690581	3.431379795058557	4.563886370707223
CGAS	0.13433459533124129	-0.4537873419090995	0.0368331924127272	-1.5828642649950855
LOC101092856	4.603653901918152	4.839127621672198	4.961189745986849	4.5459967464989
EEF1A1	14.000678141000975	13.82819961134714	13.882064750919373	13.81803551815624
SLC17A5	5.144532880932882	5.319533948800393	4.737155008808941	5.500785800864562
CD109	9.728844471161375	9.800497434725035	9.290430698938875	10.168629908761421
LOC111560482	1.340686975466625	-1.880431077190995	0.0368331924127272	-1.5828642649950855
COL12A1	11.56622084637284	9.486169916884405	11.074521765931058	11.11273099303576
LOC109499743	3.7780308683864643	1.9781118190333276	3.1469114599515495	2.7415760324726706
LOC101093608	6.271351456770765	6.280987178808882	6.331724414497896	6.642444256294844
TMEM30A	8.229558430354583	8.261301139450694	8.133306396460862	7.750775020903309
FILIP1	0.9256745839894625	0.20217897417203168	1.1791052944184703	-1.5828642649950855
SENP6	7.331567694238634	7.1894952012622335	7.24425268544484	6.781957143678002
MYO6	4.091943723865368	4.337516233373124	4.876061820065348	4.058013438451883
HTR1B	5.580929964376038	5.312615252529472	6.30072818975296	5.130087331246191
IRAK1BP1	2.0484770163889046	2.2686149956140147	1.5095378865564448	2.321189816491827
PHIP	5.701681803825165	5.758831575537408	5.9156344164601204	5.4612433170697665
HMGN3	1.048523133357186	1.6495507351390233	1.2907168853566193	0.6927083378660773
LCA5	3.984479891643042	4.157710205694703	3.9427894034594604	3.7179541716082425
SH3BGRL2	-1.2438989541025465	0.20217897417203168	-2.410824744352663	-2.2027187245550484
ELOVL4	6.895202103839727	6.300001713247993	7.040979884846422	6.56816567631172
TTK	1.478183651558448	-0.6132918024447097	0.6190200090111887	-0.818580234506317
BCKDHB	3.6958306212096614	3.8754661550952147	3.7015715188265963	3.8462911400275126
FAM46A	6.379167182134065	6.450667340719041	5.6050147898346205	6.672436808192413
IBTK	7.3955335949536645	7.474386455382325	7.514940815327991	7.273327112681623
TPBG	5.5251605828432675	5.720663035956147	5.2043602078588656	5.559031010691102
UBE3D	3.0036004497534288	2.8378259287600005	2.3826439043302505	3.209920943891169
DOPEY1	5.75903003165984	6.078088235847164	5.683803449879744	5.438151277673117
PGM3	5.742063648382292	5.5393390771624755	5.956828573036061	5.587294895303274
RWDD2A	0.8261460840159128	1.4420401922820383	1.058129566193998	1.3499538097556507
ME1	6.856313134236337	7.296110725579933	7.469407391496745	6.9552980037600705
PRSS35	3.279230755422631	5.151352086466045	3.82165168685003	1.7754589684872266
SNAP91	2.340649312944787	2.368068193310168	0.5125321811689992	-0.4307314788726614
LOC101083174	5.398066445820332	5.388271858577721	5.46569211222629	5.306209411457981
MRAP2	-1.565714096808647	-0.31017521512862184	-1.9384230752131395	1.8237736635576005
CEP162	3.578395267173993	3.8754661550952147	3.6012168974972116	3.364896470368324
TBX18	4.565586070887377	4.575749650068983	4.319594691214057	4.337176841424439
LOC111560495	1.1342476862696567	1.5400762392688394	1.333051037255348	0.12652002654660688
NT5E	0.433862286905582	1.4820575218047953	-0.5186589868968674	2.5680726543128003
SNX14	7.385735359477326	7.387177548121721	7.049732771455704	7.4190249999438604
SYNCRIP	7.82979145000136	7.739789865728152	7.823871676343742	7.792341630130394
LOC102902588	7.642261215498383	7.716914667569779	7.140058888843676	7.157928103210845
LOC111560695	0.6037715964668262	0.5037611059958492	0.5489084899688276	0.4058164753543726
ZNF292	5.630941596748383	5.455140255290887	5.848817116134705	5.134882522285713
SMIM8	2.662569875209794	2.648600402560029	2.96369650309718	2.862145547342334
SLC35A1	3.897258230670506	4.232929000270574	3.9186671017686208	3.6725063611545266
RARS2	3.957295291573988	4.212260007561528	4.287661367322792	3.512217312666942
ORC3	4.127218928389711	4.206299780981372	4.110372580409242	4.4721337878405985
AKIRIN2	3.9997870172290053	3.519436064696209	3.847436991460249	3.7306805660529814
RNGTT	4.215091039318391	4.061943863567003	4.249489892758939	4.247039790233497
LOC102900645	0.8261460840159128	1.1257218546589423	1.1319252044020052	0.2729164715073611
PNRC1	6.874072799399899	6.667908860619473	6.921645259878283	6.795648473381763
SRSF12	2.3041244026376444	2.7828169899612885	3.1169369608759925	2.2697980196773515
LOC102900751	-0.1066419021754371	-0.7001848202567733	-1.0605149030220253	1.2474133732478005
PM20D2	2.352621643346256	3.43530684392665	2.2453040206146158	3.4596751809616952
UBE2J1	6.826040158037401	6.802397490128946	6.756003318210222	6.709875015464802
RRAGD	4.5422536984115025	5.521448404740669	4.852607611442142	3.6856381961740827
ANKRD6	1.2411566821957134	1.358513240209669	1.4530742493712452	-0.9751006284842242
LYRM2	2.7005369427964467	2.8066495319351357	2.837039822677966	2.8388242966746664
MDN1	6.607400146704548	7.076411235988982	6.949549907894191	6.783484834744345
