gene_id	logFC	logCPM	LR	PValue	FDR
TCF7	5.35501914433776	5.3652027982284	168.862894882413	1.31076958625857e-38	1.53243678334779e-37
EAF2	5.35905234137002	1.72678030196038	88.7369573186572	4.50960957665174e-21	2.62936804258857e-20
CDH1	5.36117550588222	1.79343206056414	56.1911192837388	6.57578811838281e-14	2.55013832237601e-13
DEF6	5.36725828122826	5.32077362612348	249.286663855822	3.71496103243339e-56	6.98912680659104e-55
LOC109499777	5.37014240310603	1.24732834468909	55.1008160535174	1.1450335629417e-13	4.35364109412455e-13
LOC109494312	5.37207773753191	0.546714361918364	36.2655136010699	1.72183905802842e-09	4.71434800510014e-09
MRAP	5.38099602607831	2.82483945853281	38.5082339677594	5.45231675296657e-10	1.5556431057927e-09
LOC102899271	5.38174042411453	3.13818537472903	109.329719600116	1.37416418422954e-25	1.00446359062834e-24
LOC111558021	5.38216421462345	-0.795505441398568	33.3991186837777	7.50579708067276e-09	1.95050353034117e-08
SATB1	5.38312431535453	6.99528073485157	243.945383154029	5.42580844839421e-55	9.93796064657032e-54
BCAN	5.38850232584552	1.27411563225132	78.0640293399616	9.97540438478853e-19	5.16936809338554e-18
TSPAN32	5.38855217607706	5.28264501622912	120.760605370067	4.31142068291935e-28	3.45585958663581e-27
INA	5.39106646853861	1.44800785238765	61.6380693558223	4.12760556861343e-15	1.72633581983872e-14
ZNF467	5.39775375103979	1.10603723983124	67.1423565678461	2.52592723695123e-16	1.13927683330931e-15
LOC109498185	5.40215113756806	1.63913624621132	61.8164237333003	3.77016587426365e-15	1.58223843050807e-14
LOC101088701	5.40548589452874	3.26836905361628	100.320075896112	1.29655898105336e-23	8.68825372711748e-23
LOC111560781	5.40770611096937	0.231726889223428	59.0409023897902	1.54428292706102e-14	6.23938855038473e-14
LMO2	5.41307721821313	7.11327810605831	207.693793462707	4.37549959456658e-47	6.59013100561612e-46
S1PR1	5.41438473628904	6.53776342155415	235.665535856718	3.46615065080779e-53	6.11662354602682e-52
LOC109496655	5.41722227022422	-0.168881935523811	45.7881872000868	1.31755673692527e-11	4.28125338558404e-11
CHST13	5.42804961872085	1.27995617611753	63.4527172686903	1.64262660578014e-15	7.06484614388839e-15
LOC109496612	5.42997420041402	0.921418548153291	26.8455121090373	2.20385540554029e-07	5.0305738271429e-07
LOC109497465	5.43014855500368	2.08302092588148	54.6058359631847	1.47297568690841e-13	5.5502169711245e-13
LOC109496638	5.43194532177606	0.766285158625896	33.0533248194251	8.96655855802683e-09	2.31200826249446e-08
P2RY13	5.43275349351075	-0.251576097150175	39.8380260999337	2.75920541999035e-10	8.06455215839072e-10
STX3	5.4333474191353	4.19474240978283	150.80237478146	1.1576645051033e-34	1.18176706526721e-33
LOC102899057	5.43355894386223	2.32801738386403	25.0074031910202	5.71106081713664e-07	1.25542494304142e-06
LOC101084936	5.43587765449519	1.87014992363988	90.3169019520394	2.02911783538778e-21	1.20874739091231e-20
USHBP1	5.44268932396488	-0.880512550293485	22.8620486466213	1.74054802663325e-06	3.65423357106731e-06
AFF3	5.44501572725799	6.2153607664635	342.078502113412	2.25016217303452e-76	6.86902954546074e-75
LOC111562330	5.45126739511078	2.2555280773549	104.408396714532	1.64631404906671e-24	1.15011023112135e-23
CHRM3	5.45128667173292	2.59733233480115	120.55752590121	4.77615269932456e-28	3.82068239275788e-27
LOC101080314	5.45594665364414	4.69328152463504	338.649398752446	1.25605662698834e-75	3.77646459453947e-74
PRLR	5.46462760056686	-0.178209307275123	34.6528794384776	3.94055269748793e-09	1.04916804067619e-08
FGL2	5.46563804712871	7.96515880916053	251.437598865555	1.26192541305253e-56	2.40823730023858e-55
VIT	5.46765459224637	1.52146270739869	74.5227300519318	5.99441011784536e-18	2.98460220917232e-17
IGSF9	5.4695493402594	2.60856792266015	159.327026656217	1.58740149645025e-36	1.73373837189409e-35
F12	5.47004041510272	0.940708528236617	76.6942423212079	1.99584400373033e-18	1.02000558689682e-17
LOC109501581	5.47189887757253	-0.741885681187907	37.4501471600047	9.37796216692624e-10	2.62309684272371e-09
LOC111558942	5.47603531443581	0.332292126034095	51.5491291933055	6.9827655063835e-13	2.50214455462606e-12
LOC109498250	5.47684069303652	-0.117374369929163	38.5371132190217	5.37223206711818e-10	1.53334261131163e-09
LOC111559474	5.48333117458119	1.91635035593849	33.5773824922607	6.84844428125756e-09	1.78462730370955e-08
LOC109498147	5.48404130417454	-0.73414524302803	27.337473709047	1.70867729082253e-07	3.93977320637491e-07
LOC109501465	5.48418890177315	2.17977281098845	79.87721240759	3.9841510947685e-19	2.12048923497448e-18
MYBPC3	5.48832312360952	1.75486193714983	77.7022577412691	1.19804325243035e-18	6.18827203483877e-18
TBXA2R	5.49167351696811	3.05623264199772	93.7211026462145	3.63267178303414e-22	2.25327461512842e-21
UBA7	5.49183291531464	6.78881960994834	172.90947182739	1.71292978180196e-39	2.06159638013703e-38
MADD	5.50342361061815	5.93272629440406	471.902594793338	1.23524169165444e-104	6.83457512378939e-103
LOC102900455	5.50778738233477	2.42032474282115	122.404476743474	1.88264606730891e-28	1.5329568258849e-27
RGS10	5.51871893441427	6.53633098489967	391.857870276061	3.26151279330303e-87	1.28010360495773e-85
LOC109497596	5.51949442379523	2.60971256572333	136.572174696098	1.49576811333375e-31	1.35812335532612e-30
PTPN22	5.52504130202087	4.15024529209706	233.883976811721	8.47895091520267e-53	1.48149213633503e-51
LOC109493649	5.52664511673012	4.85976178548683	41.3062506489116	1.30152038199404e-10	3.90652237466096e-10
LOC109491885	5.54710497659909	4.70524525951285	229.284203795329	8.5397830083137e-52	1.45697475628992e-50
CCL5	5.55024752743065	-0.0507376143241468	24.8044505115032	6.34507998355748e-07	1.39000343054699e-06
P2RY14	5.5510458006205	0.679510473031459	53.8704230839826	2.14157388184698e-13	7.98081847690168e-13
CDH5	5.55720183435548	0.97910010395995	67.5061547952627	2.10030409202572e-16	9.53514122690311e-16
ACTL6B	5.56149544351454	-0.078382973340759	40.9953970368535	1.52588167021464e-10	4.55591613544507e-10
LOC109499912	5.56379623225171	1.92848047007887	90.3703111771448	1.97507651858518e-21	1.1787582143691e-20
LOC105259679	5.56942197308731	0.696087446682014	52.4394570815486	4.43718700098715e-13	1.61578096116842e-12
LOC109492567	5.57052388666466	2.6913115128133	61.9127434718222	3.5901859639273e-15	1.50909030164024e-14
QPRT	5.58038096173727	1.87209410700326	77.3033874275734	1.46614358596752e-18	7.52673906004912e-18
LOC109499234	5.59016986624223	2.51405065772164	102.263861453764	4.85977244324509e-24	3.32648083690337e-23
LOC109498050	5.59251275688026	-0.675707057501697	37.4533407776653	9.36261903069179e-10	2.61926499743809e-09
LOC109497336	5.60032172407216	0.393290719811646	54.4870738131174	1.56473684343948e-13	5.88345483723645e-13
LOC109500046	5.60132142911805	3.08730306679202	139.436174132336	3.53599096468765e-32	3.28356736726676e-31
MATK	5.60795101603209	4.63935306814936	295.14369613826	3.76551860348692e-66	8.78529120740323e-65
LOC109492111	5.61894184089506	0.40386090813673	60.8857030982859	6.04865190869575e-15	2.50546576982237e-14
PIK3C2B	5.61921107220168	6.82215720673093	127.692451132632	1.31056042068455e-29	1.11143056432189e-28
TNFRSF25	5.63056354396368	4.35878061343592	153.390417681329	3.14737422466839e-35	3.28444062017621e-34
LOC109501207	5.63139628741519	-0.615192514258032	37.8541704525823	7.62352387731132e-10	2.14896255059183e-09
LOC102901004	5.63188241596105	-0.65132728593075	28.6813336305621	8.53222008876561e-08	2.02352920247775e-07
RD3	5.63396309586973	-0.660670325028541	37.6387684155047	8.51354733181567e-10	2.39223023686268e-09
ISG20	5.64145227431673	4.89706987484768	167.093482523379	3.19161332787619e-38	3.68005487552149e-37
LOC109500750	5.6422311060017	0.0322393937797494	46.6077370491562	8.67171895582918e-12	2.86035689424835e-11
LOC109503349	5.64279682839702	1.0958516274474	62.9260920686933	2.14610310673883e-15	9.16840563160408e-15
PARVG	5.64597676412174	4.31298984813983	190.470820941334	2.50935239716426e-43	3.34335538869669e-42
